cohort_month,month_number,active_customers,cohort_size,retention_pct
2017-06,5,12,3102,0.39
2017-06,6,11,3102,0.35
2017-06,7,7,3102,0.23
2017-06,8,4,3102,0.13
2017-06,9,7,3102,0.23
2017-06,10,10,3102,0.32
2017-06,11,10,3102,0.32
2017-06,12,5,3102,0.16
2017-06,13,4,3102,0.13
2017-06,14,6,3102,0.19
2017-07,0,3822,3822,100.0
2017-07,1,20,3822,0.52
2017-07,2,13,3822,0.34
2017-07,3,9,3822,0.24
2017-07,4,11,3822,0.29
2017-07,5,8,3822,0.21
2017-07,6,12,3822,0.31
2017-07,7,4,3822,0.1
2017-07,8,7,3822,0.18
2017-07,9,10,3822,0.26
2017-07,10,8,3822,0.21
2017-07,11,11,3822,0.29
2017-07,12,5,3822,0.13
2017-07,13,10,3822,0.26
2017-08,0,4130,4130,100.0
2017-08,1,28,4130,0.68
2017-08,2,14,4130,0.34
2017-08,3,11,4130,0.27
2017-08,4,15,4130,0.36
2017-08,5,22,4130,0.53
2017-08,6,12,4130,0.29
2017-08,7,11,4130,0.27
2017-08,8,6,4130,0.15
2017-08,9,6,4130,0.15
2017-08,10,10,4130,0.24
2017-08,11,8,4130,0.19
2017-08,12,5,4130,0.12
2017-09,0,4075,4075,100.0
2017-09,1,28,4075,0.69
2017-09,2,22,4075,0.54
2017-09,3,12,4075,0.29
2017-09,4,18,4075,0.44
2017-09,5,9,4075,0.22
2017-09,6,9,4075,0.22
2017-09,7,10,4075,0.25
2017-09,8,12,4075,0.29
2017-09,9,7,4075,0.17
2017-09,10,11,4075,0.27
2017-09,11,3,4075,0.07
2017-10,0,4392,4392,100.0
2017-10,1,31,4392,0.71
2017-10,2,11,4392,0.25
2017-10,3,4,4392,0.09
2017-10,4,10,4392,0.23
2017-10,5,9,4392,0.2
2017-10,6,9,4392,0.2
2017-10,7,16,4392,0.36
2017-10,8,12,4392,0.27
2017-10,9,9,4392,0.2
2017-10,10,9,4392,0.2
2017-11,0,7190,7190,100.0
2017-11,1,40,7190,0.56
2017-11,2,28,7190,0.39
2017-11,3,12,7190,0.17
2017-11,4,14,7190,0.19
2017-11,5,13,7190,0.18
2017-11,6,8,7190,0.11
2017-11,7,14,7190,0.19
2017-11,8,9,7190,0.13
2017-11,9,4,7190,0.06
2017-12,0,5439,5439,100.0
2017-12,1,12,5439,0.22
2017-12,2,15,5439,0.28
2017-12,3,19,5439,0.35
2017-12,4,14,5439,0.26
2017-12,5,11,5439,0.2
2017-12,6,9,5439,0.17
2017-12,7,2,5439,0.04
2017-12,8,12,5439,0.22
2018-01,0,6951,6951,100.0
2018-01,1,23,6951,0.33
2018-01,2,25,6951,0.36
2018-01,3,20,6951,0.29
2018-01,4,20,6951,0.29
2018-01,5,11,6951,0.16
2018-01,6,12,6951,0.17
2018-01,7,16,6951,0.23
2018-02,0,6357,6357,100.0
2018-02,1,23,6357,0.36
2018-02,2,25,6357,0.39
2018-02,3,19,6357,0.3
2018-02,4,17,6357,0.27
2018-02,5,14,6357,0.22
2018-02,6,13,6357,0.2
2018-03,0,6931,6931,100.0
2018-03,1,28,6931,0.4
2018-03,2,21,6931,0.3
2018-03,3,20,6931,0.29
2018-03,4,9,6931,0.13
2018-03,5,8,6931,0.12
2018-04,0,6698,6698,100.0
2018-04,1,39,6698,0.58
2018-04,2,21,6698,0.31
2018-04,3,16,6698,0.24
2018-04,4,9,6698,0.13
2018-05,0,6586,6586,100.0
2018-05,1,34,6586,0.52
2018-05,2,17,6586,0.26
2018-05,3,13,6586,0.2
2018-06,0,5920,5920,100.0
2018-06,1,25,5920,0.42
2018-06,2,16,5920,0.27
2018-07,0,6016,6016,100.0
2018-07,1,31,6016,0.52
2018-08,0,6209,6209,100.0
2018-08,1,1,6209,0.02
